county_name,population_rank,population_2010,population_2022,population_growth,land_area,population_density,population_percentage
cook,1,5194675,5291715,0.018680668,945,5599.698413,0.413128433
dupage,2,916924,936067,0.020877412,328,2853.862805,0.073079501
lake,3,703462,716518,0.018559638,444,1613.779279,0.055939135
will,4,677560,700115,0.033288565,837,836.4575866,0.054658539
kane,5,515269,516772,0.002916923,520,993.7923077,0.040344804
mchenry,6,308760,310523,0.005709937,603,514.9635158,0.02424278
winnebago,7,295266,283366,-0.040302642,513,552.3703704,0.022122611
madison,8,269282,265175,-0.015251669,716,370.3561453,0.020702425
st. clair,9,270056,254868,-0.056240187,658,387.337386,0.019897749
champaign,10,201081,206821,0.02854571,996,207.6516064,0.016146681
sangamon,11,197465,196119,-0.006816398,868,225.9435484,0.015311168
peoria,12,186494,180898,-0.030006327,619,292.2423263,0.014122852
mclean,13,169572,171230,0.009777558,1183,144.7421809,0.013368063
rock island,14,147546,144098,-0.023368983,427,337.4660422,0.011249846
kendall,15,114736,135295,0.17918526,320,422.796875,0.010562589
tazewell,16,135394,130533,-0.035902625,649,201.1294299,0.010190816
lasalle,17,113924,108804,-0.044942242,1135,95.86255507,0.008494416
kankakee,18,113449,106312,-0.062909325,677,157.0339734,0.008299863
macon,19,110768,102644,-0.073342482,581,176.6678141,0.008013499
dekalb,20,105160,99472,-0.054089007,631,157.6418384,0.007765859
vermilion,21,81625,72700,-0.109341501,898,80.95768374,0.005675747
williamson,22,66357,67313,0.01440692,420,160.2690476,0.00525518
adams,23,67103,65463,-0.02444004,855,76.56491228,0.005110749
whiteside,24,58498,55129,-0.057591713,684,80.59795322,0.004303965
boone,25,54165,53304,-0.015895874,281,189.6939502,0.004161486
grundy,26,50063,53027,0.059205401,418,126.8588517,0.00413986
jackson,27,60218,51526,-0.144342223,584,88.22945205,0.004022676
ogle,28,53497,51446,-0.038338598,759,67.78129117,0.00401643
knox,29,52919,49377,-0.066932482,716,68.9622905,0.003854902
henry,30,50486,49044,-0.028562374,823,59.59173755,0.003828904
coles,31,53873,45461,-0.156145008,508,89.49015748,0.003549177
macoupin,32,47765,44407,-0.070302523,863,51.45654693,0.00346689
stephenson,33,47711,44014,-0.077487372,565,77.90088496,0.003436208
woodford,34,38664,38427,-0.006129733,528,72.77840909,0.003000027
franklin,35,39561,37452,-0.053310078,409,91.56968215,0.002923908
marion,36,39437,37387,-0.051981642,572,65.36188811,0.002918833
jefferson,37,38827,36771,-0.052952842,571,64.39754816,0.002870741
clinton,38,37762,36727,-0.027408506,474,77.48312236,0.002867306
monroe,39,32957,35362,0.072973875,385,91.84935065,0.00276074
livingston,40,38950,35187,-0.09661104,1044,33.70402299,0.002747077
effingham,41,34242,34754,0.014952398,479,72.55532359,0.002713273
christian,42,34800,33878,-0.026494253,709,47.78279267,0.002644883
lee,43,36031,33767,-0.062834781,725,46.57517241,0.002636217
fulton,44,37069,32917,-0.112007338,866,38.01039261,0.002569857
bureau,45,34978,32898,-0.05946595,869,37.85730725,0.002568373
morgan,46,35547,32389,-0.088840127,569,56.92267135,0.002528635
randolph,47,33476,29501,-0.118741785,576,51.21701389,0.002303167
montgomery,48,30104,27924,-0.072415626,704,39.66477273,0.002180049
logan,49,30305,27523,-0.091800033,618,44.53559871,0.002148743
iroquois,50,29718,26549,-0.106635709,1117,23.76812892,0.002072702
mcdonough,51,32612,26164,-0.197718631,589,44.42105263,0.002042644
saline,52,24913,23540,-0.055111789,380,61.94736842,0.001837787
jo daviess,53,22678,21907,-0.033997707,601,36.45091514,0.001710297
fayette,54,22140,21358,-0.035320687,716,29.82960894,0.001667436
jersey,55,22985,21218,-0.076876224,369,57.50135501,0.001656506
shelby,56,22363,20716,-0.073648437,759,27.29380764,0.001617315
perry,57,22350,20665,-0.075391499,442,46.75339367,0.001613333
douglas,58,19980,19692,-0.014414414,417,47.22302158,0.00153737
crawford,59,19817,18451,-0.068930716,444,41.55630631,0.001440484
hancock,60,19104,17324,-0.093174204,794,21.8186398,0.001352499
union,61,17808,17132,-0.037960467,413,41.48184019,0.001337509
piatt,62,16729,16661,-0.004064798,439,37.95216401,0.001300738
warren,63,17707,16661,-0.059072683,542,30.7398524,0.001300738
edgar,64,18576,16524,-0.110465116,623,26.52327448,0.001290042
bond,65,17768,16517,-0.070407474,380,43.46578947,0.001289495
wayne,66,16760,16063,-0.041587112,714,22.49719888,0.001254051
carroll,67,15387,15766,0.024631182,445,35.42921348,0.001230864
richland,68,16233,15729,-0.031047865,360,43.69166667,0.001227976
mercer,69,16434,15551,-0.053730072,561,27.7201426,0.001214079
de witt,70,16561,15308,-0.075659682,398,38.46231156,0.001195108
clark,71,16335,15279,-0.064646465,501,30.49700599,0.001192844
lawrence,72,16833,14970,-0.110675459,372,40.24193548,0.00116872
moultrie,73,14846,14462,-0.025865553,336,43.04166667,0.00112906
pike,74,16430,14401,-0.123493609,831,17.32972323,0.001124298
massac,75,15429,13917,-0.097997278,237,58.72151899,0.001086511
white,76,14665,13719,-0.06450733,495,27.71515152,0.001071053
washington,77,14716,13569,-0.077942376,563,24.10124334,0.001059343
johnson,78,12582,13454,0.069305357,344,39.11046512,0.001050365
ford,79,14081,13424,-0.046658618,486,27.62139918,0.001048022
clay,80,13815,13182,-0.045819761,468,28.16666667,0.001029129
cass,81,13642,12922,-0.052778185,376,34.36702128,0.001008831
mason,82,14666,12770,-0.129278604,539,23.69202226,0.000996964
menard,83,12705,12215,-0.038567493,314,38.90127389,0.000953635
greene,84,13886,11605,-0.164266167,543,21.37200737,0.000906012
marshall,85,12640,11562,-0.08528481,387,29.87596899,0.000902655
wabash,86,11947,11243,-0.058926927,223,50.41704036,0.00087775
cumberland,87,11048,10330,-0.064989138,346,29.85549133,0.000806471
jasper,88,9698,9205,-0.050835224,495,18.5959596,0.000718642
hamilton,89,8457,7901,-0.065744354,435,18.16321839,0.000616837
schuyler,90,7544,6774,-0.102067869,437,15.50114416,0.000528852
henderson,91,7331,6199,-0.154412768,379,16.35620053,0.000483961
edwards,92,6721,6149,-0.085106383,222,27.6981982,0.000480057
brown,93,6937,6106,-0.119792417,306,19.95424837,0.0004767
putnam,94,6006,5563,-0.073759574,160,34.76875,0.000434308
stark,95,5994,5282,-0.118785452,288,18.34027778,0.00041237
pulaski,96,6161,4999,-0.188605746,199,25.12060302,0.000390276
scott,97,5355,4867,-0.091129785,251,19.39043825,0.000379971
gallatin,98,5589,4818,-0.137949544,323,14.91640867,0.000376145
alexander,99,8238,4640,-0.436756494,236,19.66101695,0.000362249
