incident_id,incident_date,incident_address,incident_city,incident_zip,incident_county
1,2001-01-11,1286 55th avenue,avon,61415,fulton
2,2001-01-14,1120 north amos street,springfield,62702,sangamon
3,2001-01-23,3351 terminal road: #25,springfield,62702,sangamon
4,2001-02-20,1005 south shumway,taylorville,62568,christian
5,2001-03-10,15126 montgomery trail,hillsboro,62049,montgomery
6,2001-04-20,1005 west monroe street,bloomington,61701,mclean
7,2001-06-05,207 briarwood drive,payson,62360,adams
8,2001-06-29,200 fulton street,galesburg,61402,knox
9,2001-07-05,22333 east 13th road,harvel,62538,montgomery
10,2001-07-14,125 north road,irving,62051,montgomery
11,2001-07-17,1725 county road: 3375 north lot #51: triangle trailer park,ludlow,60949,champaign
12,2001-07-17,105 young street,shipman,62685,macoupin
13,2001-08-13,400 south second street,jeisyville,62568,christian
14,2001-08-23,16379 ebson road,fulton,61252,whiteside
15,2001-09-06,2411 east state highway 9 and 94,la harpe,61450,hancock
16,2001-09-07,2818 emzee street,granite city,62040,madison
17,2001-09-08,1960 east county road 1000 north,carthage,62321,hancock
18,2001-09-08,4055 1050 north avenue,neponset,61345,bureau
19,2001-09-09,312 north eighth street: lot a,altamont,62411,effingham
20,2001-09-11,3125 north third street,pekin,61554,tazewell
21,2001-09-12,213 south benton street,tampico,61283,whiteside
22,2001-09-14,8th and batton streets,lomax,61454,tazewell
23,2001-09-24,215 north sycamore street,dallas city,62330,hancock
24,2001-09-25,13608 first street,pekin,61554,tazewell
25,2001-10-04,#19 sherman trailer park,atlanta,61723,logan
26,2001-10-09,4021 north war memorial drive,peoria,60614,peoria
27,2001-10-22,708 east johnson street,clinton,61727,dewitt
28,2001-11-02,4027 kathy drive: apt. #4,pontoon beach,62040,madison
29,2001-11-07,31 pulaski street: candlewood trailer park,mahomet,61853,champaign
30,2001-11-11,204 west sargent,litchfield,62056,montgomery
31,2001-11-13,220 wisconsin avenue,alton,62002,madison
32,2001-11-17,1400 lindsay lane,galesburg,61401,knox
33,2001-11-17,22160 tullamore road,delavan,61734,tazewell
34,2001-11-27,1602 fredrick drive,pekin,61554,tazewell
35,2001-12-01,25 endsley road,harrisburg,62946,saline
36,2001-12-03,1602 fredrick drive,pekin,61554,tazewell
37,2001-12-05,24780 east illinois highway 9,canton,61520,fulton
38,2001-12-18,211 north capital,pekin,61554,tazewell
39,2001-12-21,3430 peoria road: lot 126,springfield,62702,sangamon
40,2001-12-27,1001 factory outlet road,west frankfort,62896,franklin
41,2002-01-11,301 north street,panama,62077,montgomery
42,2002-01-14,1228 howard court,pekin,61554,tazewell
43,2002-01-14,1331 6th street,cottage hills,62018,madison
44,2002-01-15,211 pleasant street,hillsboro,62049,montgomery
45,2002-01-16,2651 watson lane,salem,62881,marion
46,2002-01-16,527 north 8th street: apt. a,quincy,62301,adams
47,2002-01-16,412 spring street,quincy,62301,adams
48,2002-01-17,1221 maple street,pekin,61554,tazewell
49,2002-01-17,13952 south 14th street,pekin,61554,tazewell
50,2002-01-18,1405 ann eliza street: apt. 22,pekin,61554,tazewell
51,2002-01-18,300 3rd street,karnak,62956,pulaski
52,2002-01-18,422 main street,savanna,61074,carroll
53,2002-01-21,322 west louisa,illiopolis,62539,sangamon
54,2002-01-21,3625 south douglas: lot 26,springfield,62704,sangamon
55,2002-01-22,232 north 1st street,witt,62904,montgomery
56,2002-01-25,#26 rock springs estates,o'fallon,62269,st. clair
57,2002-01-26,413 capri street,pekin,61554,tazewell
58,2002-01-28,101 1/2 west main street: apt. 24,west frankfort,62896,franklin
59,2002-01-29,2106 court street,pekin,61554,tazewell
60,2002-01-31,102 raymond street,pana,62557,christian
61,2002-01-31,600 west third street: apt. c.,taylorville,62568,christian
62,2002-02-02,1410 tennell road,pekin,61554,tazewell
63,2002-02-02,143 drummond street,white hall,62902,greene
64,2002-02-04,1602 frederick street,pekin,61554,tazewell
65,2002-02-05,612 peoria street,washington,61571,tazewell
66,2002-02-06,1221 vine avenue,charleston,61920,coles
67,2002-02-06,1420 morton street,pekin,61554,tazewell
